"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2024-55058-19/09/2025","01",0,"SA","RIGID TRUCK LGE GE 4.5T","2005","North West","Male","035","SA","MCR","Full","Trailer","Straight Ahead","001","5020",,
"2024-55058-19/09/2025","02",0,"SA","Motor Cars - Sedan","2016","North West","Female","069","SA","C","Full","Not Towing","Parked","001","5007",,
"2024-55059-19/09/2025","01",0,"SA","Motor Cars - Sedan","2000","South","Male","047","SA","HC","Full","Not Towing","Straight Ahead","001","5107",,
"2024-55059-19/09/2025","02",0,"NT","Station Wagon","2014","North","Male","024","NT","C","Full","Not Towing","U Turn","002","5096",,
"2024-55060-19/09/2025","01",0,"SA","Motor Cars - Sedan","2009","East","Male","027","SA","C","Full","Not Towing","Stopped on Carriageway","002","5251",,
"2024-55060-19/09/2025","02",0,"SA","Motor Cars - Sedan","2019","East","Female","035","SA","C","Full","Not Towing","Straight Ahead","001","5252",,
"2024-55061-19/09/2025","01",1,"SA","Panel Van","2020","South East","Male","024","SA","CR","Full","Not Towing","Straight Ahead","001","5153",,
"2024-55061-19/09/2025","02",0,"SA","Motor Cars - Sedan","2013","South East","Female","060","SA","C","Full","Not Towing","Straight Ahead","001","5033",,
"2024-55061-19/09/2025","03",0,"SA","Station Wagon","2022","South East","Female","048","SA","C","Full","Not Towing","Straight Ahead","001","5251",,
"2024-55061-19/09/2025","04",0,"SA","Light Truck LT 4.5T","2013","South East","Male","039","SA","HR","Full","Not Towing","Straight Ahead","001","5031",,
"2024-55062-19/09/2025","01",0,"SA","Station Wagon","2012","West","Female","041","SA","C","Full","Not Towing","Leaving Private Driveway","001","5008",,
"2024-55062-19/09/2025","02",0,,"Pedal Cycle",,"South","Male","022",,,,,"Straight Ahead","001","5082",,
"2024-55063-19/09/2025","01",0,"SA","Motor Cars - Sedan","2013","South West","Male","046","SA","C","Full","Not Towing","Straight Ahead","001","5107",,
"2024-55063-19/09/2025","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2024-55064-19/09/2025","01",0,"SA","Station Wagon","2010","South East","Male","054","SA","C","Full","Not Towing","Straight Ahead","002","5069",,
"2024-55064-19/09/2025","02",0,"SA","Motor Cars - Sedan","2012","South West","Male","052","SA","C","Full","Not Towing","Leaving Private Driveway","001","5069",,
"2024-55065-19/09/2025","01",0,"SA","Motor Cars - Sedan","2005","North East","Male","038","SA","C","Full","Not Towing","Straight Ahead","001","5114",,
"2024-55065-19/09/2025","02",0,,"Pedestrian on Road",,"South East","Female","XXX",,,,,"Crossing with Traffic Signals",,"XXXX",,
"2024-55066-19/09/2025","01",0,"QLD","Motor Cars - Sedan","2010","North","Male","055","QLD","HR","Full","Not Towing","Straight Ahead","003","5064",,
